g,season,opp,w/l,tm,opp_score,fg,fga,fg_percentage,three_points,three_point_attempts,three_point_percentage,ft,fta,free_throw_percentage,orb,trb,ast,stl,blk,tov,pf,drb,two_point_percentage,id
82,2022-23,ATL,W,120,114,42,89,0.472,25,54,0.463,11,14,0.786,12,47,33,5,3,15,13,35,0.486,1
81,2022-23,TOR,W,121,102,45,81,0.556,15,44,0.341,16,21,0.762,13,53,37,4,7,19,14,40,0.811,2
80,2022-23,TOR,W,97,93,38,89,0.427,11,38,0.289,10,18,0.556,11,48,20,5,7,15,14,37,0.529,3
79,2022-23,PHI,L,101,103,38,91,0.418,15,45,0.333,10,16,0.625,13,43,28,4,4,8,17,30,0.5,4
78,2022-23,UTA,W,122,114,42,96,0.438,17,51,0.333,21,22,0.955,10,42,27,8,4,11,14,32,0.556,5
77,2022-23,MIL,W,140,99,51,91,0.56,22,43,0.512,16,20,0.8,7,47,28,8,5,8,18,40,0.604,6
76,2022-23,WAS,L,111,130,45,93,0.484,11,44,0.25,10,11,0.909,7,38,29,5,8,12,14,31,0.694,7
75,2022-23,SAS,W,137,93,52,91,0.571,18,44,0.409,15,21,0.714,9,61,29,4,11,14,18,52,0.723,8
74,2022-23,IND,W,120,95,44,93,0.473,18,42,0.429,14,19,0.737,9,49,28,11,6,14,15,40,0.51,9
73,2022-23,SAC,W,132,109,49,92,0.533,18,44,0.409,16,23,0.696,11,43,33,9,3,5,15,32,0.646,10
72,2022-23,UTA,L,117,118,42,88,0.477,22,51,0.431,11,16,0.688,5,40,30,2,2,6,17,35,0.541,11
71,2022-23,POR,W,126,112,41,87,0.471,15,42,0.357,29,35,0.829,18,52,29,12,2,16,19,34,0.578,12
70,2022-23,MIN,W,104,102,34,84,0.405,12,40,0.3,24,30,0.8,8,44,20,7,5,9,22,36,0.5,13
69,2022-23,HOU,L,109,111,39,87,0.448,12,42,0.286,19,21,0.905,10,38,19,7,5,13,22,28,0.6,14
68,2022-23,ATL,W,134,125,52,95,0.547,20,42,0.476,10,12,0.833,5,40,35,6,6,8,21,35,0.604,15
67,2022-23,POR,W,115,93,42,88,0.477,18,49,0.367,13,20,0.65,5,45,26,9,2,10,20,40,0.615,16
66,2022-23,CLE,L,114,118,42,101,0.416,16,48,0.333,14,21,0.667,15,52,25,5,5,12,21,37,0.491,17
65,2022-23,NYK,L,129,131,43,109,0.394,21,59,0.356,22,25,0.88,17,54,27,8,5,16,28,37,0.44,18
64,2022-23,BRK,L,105,115,41,84,0.488,9,29,0.31,14,20,0.7,9,48,26,8,8,19,19,39,0.582,19
63,2022-23,CLE,W,117,113,39,78,0.5,16,32,0.5,23,28,0.821,7,43,27,5,4,12,18,36,0.5,20
62,2022-23,NYK,L,94,109,37,84,0.44,9,42,0.214,11,14,0.786,7,35,21,5,8,11,22,28,0.667,21
61,2022-23,PHI,W,110,107,43,86,0.5,16,36,0.444,8,12,0.667,9,44,20,6,4,12,22,35,0.54,22
60,2022-23,IND,W,142,138,51,99,0.515,18,39,0.462,22,26,0.846,20,51,31,7,6,15,18,31,0.55,23
59,2022-23,DET,W,127,109,49,92,0.533,21,45,0.467,8,10,0.8,8,43,30,10,5,11,18,35,0.596,24
58,2022-23,MIL,L,125,131,46,99,0.465,17,50,0.34,16,20,0.8,8,44,28,8,1,13,26,36,0.592,25
57,2022-23,MEM,W,119,109,39,88,0.443,21,51,0.412,20,26,0.769,15,55,28,5,3,10,14,40,0.486,26
56,2022-23,CHO,W,127,116,44,89,0.494,25,55,0.455,14,17,0.824,5,43,34,7,7,15,22,38,0.559,27
55,2022-23,PHI,W,106,99,40,76,0.526,19,35,0.543,7,10,0.7,5,44,25,2,5,13,19,39,0.512,28
54,2022-23,DET,W,111,99,39,83,0.47,16,37,0.432,17,21,0.81,10,51,25,2,5,11,22,41,0.5,29
53,2022-23,PHO,L,94,106,29,75,0.387,10,38,0.263,26,31,0.839,3,43,18,5,3,14,21,40,0.514,30
52,2022-23,BRK,W,139,96,53,92,0.576,26,54,0.481,7,10,0.7,11,57,28,4,4,10,13,46,0.711,31
51,2022-23,LAL,W,125,121,39,84,0.464,13,40,0.325,34,39,0.872,7,46,18,8,9,12,22,39,0.591,32
50,2022-23,NYK,L,117,120,41,100,0.41,16,46,0.348,19,23,0.826,15,54,22,4,4,13,19,39,0.463,33
49,2022-23,MIA,L,95,98,32,74,0.432,10,32,0.313,21,27,0.778,5,44,21,5,6,17,22,39,0.524,34
48,2022-23,ORL,L,98,113,36,83,0.434,18,46,0.391,8,11,0.727,8,37,24,5,4,18,23,29,0.486,35
47,2022-23,TOR,W,106,104,38,85,0.447,16,35,0.457,14,15,0.933,11,41,25,9,8,15,17,30,0.44,36
